030ESCOVA                        017007333011
031MIOJO                         020019532566
032CERVEJA                       010011393583
033BISCOITO                      001014111074
034ESCOVA                        008015695187
035ARROZ                         001020014517
036OLEO                          011007907989
037REFRIGERANTE                  007015258130
038SAL                           007008627599
039FEIJAO                        020009145207
040CREME                         017015640004
041LEITE                         002030783153
042BISCOITO                      017000891673
043CAFE                          016012038801
044CHOCOLATE                     018028736132
045SUCO                          001021023623
046FEIJAO                        020028086459
047CERVEJA                       010013898800
048ACUCAR                        008000261047
049CHOCOLATE                     008004981467
050FEIJAO                        007018806099
051ARROZ                         020022447181
052FARINHA                       007021248800
053OLEO                          019027573244
054OLEO                          010026991361
055BISCOITO                      011020824318
056MIOJO                         014011833745
057SAL                           012001130986
058FEIJAO                        019001414863
059CAFE                          018013317091
060ACUCAR                        010010465126
061FEIJAO                        009020901911
062IOGURTE                       006005638818
063CAFE                          014030293288
064ESCOVA                        017017982512
065SHAMPOO                       008020422886
066REFRIGERANTE                  008022870526
067FEIJAO                        008001861251
068SUCO                          020028586044
069IOGURTE                       018025099519
070CREME                         004008528284
071REFRIGERANTE                  014028298618
072CAFE                          008005367769
073SAL                           019029807131
074FARINHA                       008022384091
075SABONETE                      015025789750
076CERVEJA                       012023245347
077BISCOITO                      002022478220
078CAFE                          020012073143
079SUCO                          007017603326
080OLEO                          017009404691
081MIOJO                         019007750681
082ARROZ                         004017276864
083FARINHA                       020006058102
084ACUCAR                        008010397606
085BISCOITO                      014030231958
086CHOCOLATE                     010019844048
087SHAMPOO                       005001610646
088SUCO                          017001722945
089MIOJO                         016023950281
090CHOCOLATE                     012009816948
091MACARRAO                      003028877542
092CREME                         008009569895
093LEITE                         016020106641
094OLEO                          014011149902
095BISCOITO                      018009914791
096CAFE                          019018128918
097FEIJAO                        007027575435
098OLEO                          017029593518
099FEIJAO                        015010815876
100MIOJO                         013025730799
